account,sector,year_established,revenue,employees,office_location,subsidiary_of
Acme Corporation,technolgy,2002,1100.04,2822,United States,
Betasoloin,medical,2005,251.41,495,United States,
Betatech,medical,1992,647.18,1185,Kenya,
Bioholding,medical,2018,587.34,1356,Philipines,
Bioplex,medical,1997,326.82,1016,United States,
Blackzim,retail,2015,497.11,1588,United States,
Bluth Company,technolgy,1999,1242.32,3027,United States,Acme Corporation
Bubba Gump,software,2008,987.39,2253,United States,
Cancity,retail,2007,718.62,2448,United States,
Cheers,entertainment,1999,4269.9,6472,United States,Massive Dynamic
Codehow,software,2004,2714.9,2641,United States,Acme Corporation
Condax,medical,2023,4.54,9,United States,
Conecom,technolgy,2011,1520.66,1806,United States,
Dalttechnology,software,2019,98.79,96,United States,Bubba Gump
dambase,marketing,2001,2173.98,2928,United States,Inity
Domzoom,entertainment,2004,217.87,551,United States,
Doncon,technolgy,2016,587.72,1501,United States,
Donquadtech,technolgy,1998,1712.68,3194,United States,Acme Corporation
Dontechi,software,1988,4618,10083,United States,
Donware,marketing,2005,1197.44,2570,United States,
Fasehatice,retail,1996,4968.91,7523,United States,
Faxquote,telecommunications,2001,1825.82,5595,United States,Sonron
Finhigh,finance,2012,1102.43,1759,United States,
Finjob,employment,1994,2059.9,3644,United States,
Funholding,finance,1997,2819.5,7227,United States,Golddex
Ganjaflex,retail,2001,5158.71,17479,Japan,
Gekko & Co,retail,1996,2520.83,3502,United States,
Genco Pura Olive Oil Company,retail,2013,894.33,1635,Italy,
Globex Corporation,technolgy,2006,1223.72,2497,Norway,
Gogozoom,telecommunications,2013,86.68,187,United States,Sonron
Golddex,finance,2014,52.5,165,United States,
Goodsilron,marketing,2006,2952.73,5107,United States,
Green-Plus,services,2009,692.19,1922,United States,
Groovestreet,retail,2009,223.8,299,United States,
Hatfan,services,1988,792.46,1299,United States,
Hottechi,technolgy,2003,8170.38,16499,Korea,
Initech,telecommunications,2000,6395.05,20275,United States,
Inity,marketing,1992,2403.58,8801,United States,
Isdom,medical,2008,3178.24,4540,United States,
Iselectrics,technolgy,2017,527.11,1428,United States,Acme Corporation
J-Texon,retail,1995,1388.67,3583,United States,
Kan-code,software,1988,11698.03,34288,United States,
Kinnamplus,retail,2010,702.72,1831,United States,
Konex,technolgy,1986,7708.38,13756,United States,
Konmatfix,marketing,1991,375.43,1190,United States,
Labdrill,medical,1991,2741.37,9226,United States,
Lexiqvolax,medical,2010,1618.89,3889,United States,
Massive Dynamic,entertainment,1995,665.06,1095,United States,
Mathtouch,marketing,1990,3027.46,9516,Jordan,
Nam-zim,services,1993,405.59,1179,Brazil,Warephase
Newex,services,1997,1012.72,3492,Germany,
Ontomedia,employment,2003,882.12,2769,United States,
Opentech,finance,2000,355.23,853,United States,
Plexzap,retail,2007,2437.85,4874,United States,
Plusstrip,entertainment,2008,349.81,315,United States,
Plussunin,retail,2009,1419.98,4018,United States,
Rangreen,technolgy,1993,2938.67,8775,Panama,
Rantouch,telecommunications,2000,1188.42,3015,United States,
Ron-tech,medical,1998,3922.42,6837,United States,
Rundofase,technolgy,1989,1008.06,1238,United States,
Scotfind,software,2002,6354.87,16780,United States,Bubba Gump
Scottech,marketing,2018,45.39,100,United States,Inity
Silis,medical,2000,2818.38,6290,United States,
Singletechno,retail,2002,2214.94,5374,United States,
Sonron,telecommunications,2005,1699.85,5108,United States,
Stanredtax,finance,1993,1698.2,3798,United States,
Statholdings,employment,2003,291.27,586,United States,
Streethex,retail,1994,1376.8,1165,Belgium,
Sumace,retail,2006,167.89,493,Romania,
Sunnamplex,marketing,2014,894.37,1593,Poland,
The New York Inquirer,medical,2002,439.21,792,United States,
Toughzap,retail,2001,332.43,799,United States,
Treequote,telecommunications,1994,5266.09,8595,United States,Sonron
Umbrella Corporation,finance,2004,2022.14,5113,United States,
Vehement Capital Partners,finance,1999,646.1,883,United States,Golddex
Warephase,services,2003,2041.73,5276,United States,
Xx-holding,finance,1999,7537.24,20293,United States,
Xx-zobam,entertainment,1995,3838.39,8274,United States,
Y-corporation,employment,1989,2871.35,9561,United States,
Yearin,retail,2011,2261.05,3851,United States,
Zathunicon,retail,2016,71.12,144,United States,
Zencorporation,technolgy,2017,40.79,142,China,
Zoomit,entertainment,1998,324.19,978,United States,
Zotware,software,1985,4478.47,13809,United States,
Zumgoity,medical,1990,441.08,1210,United States,
